epoch,zpid,addr,zipCode,price,status,beds,baths,sqft
1464046252,3793097,2737 W Cortez St  Chicago  IL 60622,60622,$430000,for-sale,4 beds,2 baths,1800 sqft
1464046252,87705889,2451 W Augusta Blvd # 1  Chicago  IL 60622,60622,$429900,for-sale,3 beds,3 baths,2400 sqft
1464046252,2099063191,1801 W Diversey Pkwy # 09186482  Chicago  IL 60614,60614,$550000,for-sale,3 beds,2 baths,2200 sqft
1464046252,3688217,1734 N Kimball Ave  Chicago  IL 60647,60647,$499000,for-sale,3 beds,3 baths,798 sqft
1464046252,3687434,2044 N Hamlin Ave  Chicago  IL 60647,60647,$116000,recently-sold,6 beds,3 baths,3000 sqft
1464046252,2101803128,1443 N Washtenaw North Ave # 1R  Chicago  IL 60622,60622,$339900,for-sale,3 beds,2.1 baths,2000 sqft
1464046252,80848987,3530 N Reta Ave APT 1F  Chicago  IL 60657,60657,$374900,for-sale,2 beds,2 baths,-- sqft
1464046252,87725471,2801 N Oakley Ave APT 208  Chicago  IL 60618,60618,$359900,for-sale,2 beds,2 baths,-- sqft
1464046252,89903647,2157 W Division St APT 302  Chicago  IL 60622,60622,$525000,for-sale,2 beds,2 baths,-- sqft
1464046252,80825888,3730 N Lake Shore Dr APT 8B  Chicago  IL 60613,60613,$375000,for-sale,3 beds,2.5 baths,2100 sqft
1464046252,65561587,3108 N Racine Ave # 3  Chicago  IL 60657,60657,$459000,for-sale,2 beds,2 baths,-- sqft
1464046252,62008164,2641 N Talman Ave # 1  Chicago  IL 60647,60647,0,,3 beds,3 baths,2200 sqft
1464046252,3858278,1230 N State Pkwy APT 18A  Chicago  IL 60610,60610,$485000,for-sale,2 beds,2 baths,1250 sqft
1464046252,3736571,1875 N Sheffield Ave APT C  Chicago  IL 60614,60614,$469500,for-sale,2 beds,2 baths,1300 sqft
1464046252,2100954758,1120 N Lake Shore Dr # 11C  Chicago  IL 60611,60611,$445000,for-sale,2 beds,2 baths,1400 sqft
1464046252,2099103938,2133 N Campbell Ave # 1C  Chicago  IL 60647,60647,$525000,for-sale,3 beds,3 baths,1700 sqft
1464046252,2146370939,3750 N Lake Shore Dr APT 13D  Chicago  IL 60613,60613,$550000,for-sale,3 beds,3 baths,2000 sqft
1464046252,58360978,3855 N Southport Ave UNIT 3  Chicago  IL 60613,60613,$445000,for-sale,2 beds,2 baths,1600 sqft
1464046252,87694062,2650 N Seminary Ave # 2  Chicago  IL 60614,60614,$474500,for-sale,2 beds,2 baths,1300 sqft
1464046252,3714516,3732 N Pine Grove Ave APT 2BC  Chicago  IL 60613,60613,0,,2 beds,2 baths,1150 sqft
1464046252,2141563663,1938 N Rockwell St  Chicago  IL 60647,60647,0,,5 beds,2 baths,1 sqft
1464046252,2123021254,3125 N Elston Ave  Chicago  IL 60618,60618,$394490,for-sale,4 beds,2 baths,-- sqft
1464046252,2101245123,2306 N Avers Ave  Chicago  IL 60647,60647,$369000,for-sale,6 beds,2 baths,1 sqft
1464046252,2107637518,100 E Walton St # 27EF  Chicago  IL 60611,60611,$525000,for-sale,2 beds,2 baths,1675 sqft
1464046252,89924411,2932 N Milwaukee Ave UNIT 201  Chicago  IL 60618,60618,$339724,for-sale,3 beds,2 baths,1600 sqft
1464046252,3670184,2713 N Avers Ave  Chicago  IL 60647,60647,$409000,for-sale,4 beds,2.5 baths,1350 sqft
1464046252,3704274,701 W Buena Ave # 2  Chicago  IL 60613,60613,$345000,for-sale,2 beds,2 baths,1800 sqft
1464046252,3849379,900 N Lake Shore Dr APT 503  Chicago  IL 60611,60611,$399000,for-sale,2 beds,2 baths,1179 sqft
1464046252,2106333558,1320 N State Pkwy # 3D  Chicago  IL 60610,60610,$550000,for-sale,2 beds,2.5 baths,-- sqft
1464046252,2131863129,3940 W Wrightwood Ave  Chicago  IL 60647,60647,$450000,for-sale,5 beds,2 baths,2500 sqft
1464046252,3687804,1815 N Harding Ave  Chicago  IL 60647,60647,$327000,for-sale,4 beds,3 baths,1706 sqft
1464046252,61962890,1201 W Wrightwood Ave APT 1  Chicago  IL 60614,60614,$485000,for-sale,2 beds,2 baths,1200 sqft
1464046252,2128767132,2639 W Armitage Ave  Chicago  IL 60647,60647,$419999,for-sale,5 beds,2 baths,-- sqft
1464046252,3718950,3200 N Lake Shore Dr APT 1010  Chicago  IL 60657,60657,$360000,for-sale,2 beds,2 baths,1250 sqft
1464046252,62010967,2910 N River Walk Dr  Chicago  IL 60618,60618,0,,3 beds,3 baths,-- sqft
1464046252,3712621,3328 N Kenmore Ave # 2  Chicago  IL 60657,60657,$429000,for-sale,2 beds,2 baths,-- sqft
1464046252,87702790,3920 N Sheridan Rd APT 501  Chicago  IL 60613,60613,0,,2 beds,2 baths,-- sqft
1464046252,2099259683,3804 N Fremont St # 09152465  Chicago  IL 60613,60613,$300000,for-sale,2 beds,2 baths,1200 sqft
1464046252,80857035,860 W Aldine Ave APT 2  Chicago  IL 60657,60657,$474900,for-sale,2 beds,2 baths,1500 sqft
1464046252,2101435870,1655 N Monticello Ave  Chicago  IL 60647,60647,$310000,for-sale,8 beds,3 baths,-- sqft
